CODIGO    NOMBRE                                                      PRECIO    STOCK     
IQ-718    Horno Microondas de Conveccion Cello                        390.80     3         
TO-226    Friobar                                                     863.19     25        
FF-034    Grabadora de voz digital portátil con USB integrado         259.25     24        
FS-384    Parlantes Bluetooth                                         805.22     8         
ZD-580    Mini componente ESX8                                        1582.29    4         
TW-288    Cavba de Vinos GE cap. 34 botellas                          1119.18    14        
OD-420    Mini componente ESX6                                        828.94     10        
DO-503    Laptop GamerVictus de 15.6                                  3935.17    23        
DD-853    Deshumedecedor  FAD30D7TSSW 3.4L 25-30m2                    1095.67    16        
TV-269    Extractor de aire                                           854.48     9         
ZR-640    Lavadora-Secadora FWD                                       2390.58    14        
ON-719    Secadora de Cabello SG-3035                                 360.69     12        
TY-123    Refrigeradora GM-S604ULV                                    1173.33    1         
WG-915    Cocina a gas Murano                                         1101.47    15        
YQ-045    Horno Microondas 1.2 p3                                     267.15     20        
WB-345    Deshumedecedor DM-189H                                      800.37     6         
GV-332    Impresora Led Color                                         2517.66    18        
LR-109    Parlantes inalambricos                                      439.47     25        
QR-442    Reloj Digital RMM-29                                        271.66     25        
BD-525    Refrigeradora Puertas Mágicas                               2700.95    14        
EV-433    Parlantes portatiles SHOQBOX                                2698.74    13        
XP-732    Televisor OLED 4K UHD Google TV Smart 77 XR-77A80L LA8      16504.47   8         
VQ-662    Cocina a gas Pro 6300 INOX                                  1060.68    13        
EN-125    Rack Fijo 26/32                                             562.46     25        
RU-009    Lavavajilla                                                 2655.78    5         
SE-049    Radio CD/DVD - TV                                           4037.51    21        
RD-969    Centro de Lavado Electrico                                  2579.72    18        
IM-038    Cocina Empotrable Petra                                     2544.64    16        
NQ-172    Congeladora Horizontal 364 Lts.                             3689.62    15        
FR-958    Cocina a gas Bavaro                                         1607.46    6         
YF-885    Videojuego TW 4                                             794.14     7         
VS-017    Tablets MW 0731                                             2599.72    14        
XY-119    Cocina Empotrable Klimatica                                 2716.11    12        
KG-558    Horno Microondas MS2042D                                    1674.24    23        
CX-285    Galaxy Tab 3                                                3290.93    11        
ZD-331    Refrigeradora ECOTT 465 IX                                  1213.79    7         
FL-718    Vinera                                                      1664.97    17        
JN-837    Lavadora Tecnologia Wobbie                                  1979.92    15        
DA-627    Cocina a gas Ijasmin                                        1424.46    7         
VZ-181    Ventilador circular                                         309.77     8         
SU-815    Audifonos                                                   619.89     16        
WN-701    Olla arrocera                                               220.82     21        
FM-021    Horno Electrico                                             726.91     26        
BJ-693    Radio CD                                                    314.20     8         
QG-293    Rapiducha Premiun                                           2784.31    23        
BD-314    Cocina a gas Fassina                                        1444.90    8         
IL-029    Mini componente Shake-5                                     2990.55    16        
WF-661    Impresora Led                                               2731.61    1         
HC-492    Terma Solucion                                              1907.23    17        
LF-273    Centro de Lavado a Gas                                      2371.95    20        
OA-735    Congeladora Vertical 392 Lts.                               2708.07    12        
LW-631    Radio Reloj Despertador                                     819.04     7         
EX-027    Tablet Xperia Z                                             3843.75    23        
JO-060    Televisor LED FULL HD                                       2704.14    23        
XF-122    Televisor Ultra HDTV                                        1110.16    15        
FP-254    Calentador electrico instantaneo                            180.65     25        
UG-251    Cocina a gas FFG3047SL                                      1597.96    7         
II-576    Campana Extractora Venus Plus                               1077.65    29        
HG-413    Parlant Y pedestal PAM-83                                   317.70     13        
QB-968    Refrigeradora 484 litros                                    1452.92    9         
